emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
6.05,MORTGAGE,Low,24000,5800, 36 months,house,Low,Good Loan,5.99,A,13.3,6284.29,5800.0,0.0,176.43,leinster
3.0,MORTGAGE,Low,43200,31000, 60 months,small_business,High,Bad Loan,13.99,C,13.78,13639.34,7887.55,12.22,524.59,leinster
5.0,RENT,Low,50000,8000, 36 months,debt_consolidation,High,Bad Loan,13.49,C,8.57,5914.41,4261.62,228.45,271.45,munster
4.0,RENT,Low,20000,6000, 36 months,debt_consolidation,High,Good Loan,15.99,D,13.8,7587.888652,6000.0,0.0,210.92,ulster
9.0,MORTGAGE,Low,55000,6300, 36 months,debt_consolidation,Low,Good Loan,11.49,B,13.75,6741.6,6300.0,0.0,207.72,leinster
8.0,RENT,Low,63996,2900, 60 months,car,Low,Good Loan,11.49,B,18.17,3745.0603950000004,2900.0,0.0,63.77,leinster
0.5,MORTGAGE,Medium,125000,9175, 36 months,debt_consolidation,Low,Good Loan,10.99,B,19.33,10215.68,9175.0,0.0,300.34,munster
9.0,MORTGAGE,Medium,120000,8500, 36 months,credit_card,Low,Good Loan,5.42,A,3.07,9176.85,8500.0,0.0,256.36,Northern-Irl
5.0,MORTGAGE,Low,54000,15075, 60 months,home_improvement,Low,Good Loan,10.99,B,29.0,17018.94,12544.68,0.0,327.7,munster
0.5,RENT,Low,70000,12000, 36 months,debt_consolidation,Low,Good Loan,5.99,A,12.24,12616.89,12000.0,0.0,365.01,leinster
6.0,MORTGAGE,Medium,105000,10000, 36 months,credit_card,Low,Good Loan,5.99,A,2.91,10237.5,10000.0,0.0,304.18,ulster
10.0,MORTGAGE,Low,65000,14075, 60 months,debt_consolidation,High,Bad Loan,13.99,C,18.39,6873.75,3852.19,13.68,327.43,Northern-Irl
10.0,RENT,Low,59520,9000, 36 months,debt_consolidation,Low,Good Loan,5.42,A,14.52,9744.468184000001,9000.0,0.0,271.44,ulster
4.0,OWN,Low,66500,12000, 36 months,small_business,Low,Good Loan,6.99,A,7.45,13172.5,12000.0,0.0,370.48,cannught
6.05,RENT,Low,25536,12000, 36 months,debt_consolidation,High,Good Loan,14.79,C,10.15,14202.54,12000.0,0.0,414.76,ulster
8.0,MORTGAGE,Low,100000,17000, 60 months,debt_consolidation,High,Good Loan,14.79,C,9.96,19346.82,17000.01,0.0,402.56,cannught
2.0,MORTGAGE,Low,56000,6000, 36 months,debt_consolidation,High,Good Loan,15.23,C,24.06,7433.76,6000.0,0.0,208.67,cannught
1.0,RENT,Low,40000,3300, 36 months,other,Low,Good Loan,6.99,A,20.04,3663.575617,3300.0,0.0,101.88,cannught
8.0,MORTGAGE,Medium,110000,2800, 36 months,debt_consolidation,Low,Good Loan,8.49,A,0.58,3088.35,2800.0,0.0,88.38,Northern-Irl
0.5,RENT,Low,72000,3150, 36 months,credit_card,High,Good Loan,15.62,D,6.32,3962.693039,3150.0,0.0,110.16,ulster
10.0,RENT,Low,90000,25000, 60 months,major_purchase,High,Good Loan,13.49,C,3.05,29876.95,20605.95,0.0,575.12,Northern-Irl
2.0,RENT,Low,40000,7000, 36 months,debt_consolidation,Low,Good Loan,11.99,B,18.21,8305.372567,7000.0,0.0,232.47,Northern-Irl
10.0,MORTGAGE,Medium,126000,2000, 36 months,debt_consolidation,Low,Good Loan,9.99,B,11.22,2215.7,2000.0,0.0,64.53,Northern-Irl
7.0,OWN,Low,60000,15000, 36 months,debt_consolidation,High,Good Loan,16.49,D,11.9,19111.628,15000.0,0.0,531.0,leinster
6.0,MORTGAGE,Medium,105000,12000, 60 months,debt_consolidation,High,Bad Loan,16.89,D,19.8,6169.76,2757.08,544.2,297.53,ulster
10.0,MORTGAGE,Low,65000,6000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,26.66,6715.303540000001,6000.0,0.0,186.61,munster
10.0,MORTGAGE,Low,100000,15000, 60 months,credit_card,Low,Good Loan,10.59,B,5.51,17097.72,14999.99,0.0,323.08,Northern-Irl
6.0,OWN,Low,72280,10000, 60 months,home_improvement,High,Bad Loan,16.49,D,2.36,3203.77,1271.63,512.62,245.8,leinster
10.0,MORTGAGE,Medium,125000,35000, 60 months,debt_consolidation,Low,Good Loan,12.99,C,16.75,23142.79,21775.01,0.0,495.34,Northern-Irl
1.0,RENT,Low,52968,8500, 36 months,other,Low,Bad Loan,12.99,C,10.06,3921.06,2540.75,341.97,286.36,munster
10.0,RENT,Low,40000,12000, 60 months,debt_consolidation,High,Good Loan,16.49,D,10.47,15509.36,12000.0,0.0,294.96,ulster
1.0,RENT,Low,35000,9200, 60 months,small_business,High,Good Loan,13.99,C,0.0,11906.90151,9200.0,0.0,214.03,leinster
10.0,RENT,Low,58000,7500, 36 months,debt_consolidation,Low,Good Loan,12.99,C,17.15,8922.44,7500.0,0.0,252.67,cannught
10.0,MORTGAGE,Low,100000,9000, 36 months,home_improvement,Low,Good Loan,10.99,B,5.32,10064.57,9000.0,0.0,294.61,leinster
1.0,OWN,Low,66000,15000, 36 months,debt_consolidation,High,Good Loan,14.79,C,11.07,16654.94,15000.0,0.0,518.44,leinster
2.0,MORTGAGE,Low,88000,8000, 36 months,credit_card,Low,Good Loan,5.99,A,0.55,8747.915923999999,8000.0,0.0,243.34,ulster
1.0,RENT,Low,45000,14000, 60 months,debt_consolidation,Low,Bad Loan,12.99,C,13.49,7103.02,3589.97,597.07,318.48,Northern-Irl
3.0,RENT,Low,32000,5000, 36 months,other,High,Good Loan,14.79,C,15.56,6151.0,5000.0,0.0,172.82,leinster
8.0,RENT,Low,45000,5000, 36 months,small_business,Low,Bad Loan,9.99,B,6.4,1114.27,731.33,148.93,161.32,ulster
8.0,MORTGAGE,Low,57000,14400, 60 months,debt_consolidation,High,Good Loan,14.79,C,19.84,15597.91,14400.0,0.0,340.99,leinster
4.0,RENT,Low,30000,3000, 36 months,debt_consolidation,High,Good Loan,13.49,C,6.2,3660.5608740000002,3000.0,0.0,101.8,Northern-Irl
6.0,RENT,Medium,105000,16000, 60 months,debt_consolidation,Low,Good Loan,12.99,C,9.57,18490.55,12849.44,0.0,363.97,Northern-Irl
0.5,MORTGAGE,Medium,156000,12000, 60 months,home_improvement,Low,Good Loan,10.99,B,13.38,13543.32,9982.93,0.0,260.85,munster
10.0,OWN,Low,19000,3625, 36 months,debt_consolidation,Low,Good Loan,8.49,A,29.43,4088.51,3625.0,0.0,114.42,Northern-Irl
3.0,RENT,Low,48000,8000, 36 months,debt_consolidation,Low,Good Loan,8.49,A,12.05,9084.723604,8000.0,0.0,252.51,cannught
7.0,OWN,Low,27852,11000, 36 months,debt_consolidation,Low,Bad Loan,8.49,A,21.33,4513.32,3546.72,0.0,347.2,cannught
0.5,MORTGAGE,Low,29000,4200, 36 months,credit_card,Low,Good Loan,11.99,B,20.44,4972.72,4200.0,0.0,139.49,leinster
2.0,MORTGAGE,Low,33360,5400, 60 months,car,Low,Good Loan,10.59,B,1.8,6017.67,4485.18,0.0,116.31,cannught
1.0,RENT,Low,40000,2800, 36 months,other,Low,Good Loan,7.49,A,10.38,2898.51,2800.0,0.0,87.09,leinster
5.0,MORTGAGE,Low,83820,12800, 36 months,debt_consolidation,Low,Good Loan,9.99,B,8.78,14842.963119999999,12800.0,0.0,412.96,Northern-Irl
6.0,MORTGAGE,Low,44400,14125, 36 months,debt_consolidation,Low,Good Loan,12.99,C,22.24,17127.6052,14125.0,0.0,475.86,cannught
10.0,MORTGAGE,Low,65000,16100, 60 months,debt_consolidation,High,Good Loan,18.39,E,24.07,21022.65,12657.59,0.0,412.26,cannught
10.0,RENT,Low,94837,9600, 36 months,debt_consolidation,Low,Good Loan,11.99,B,16.63,10794.32,9600.0,0.0,318.82,Northern-Irl
0.5,RENT,Low,61200,16000, 60 months,debt_consolidation,Low,Good Loan,7.49,A,5.06,18986.556080000002,16000.0,0.0,320.54,ulster
3.0,RENT,Low,38000,13400, 36 months,debt_consolidation,Low,Good Loan,9.99,B,15.76,14978.3,13400.0,0.0,432.32,Northern-Irl
2.0,RENT,Low,30000,4000, 36 months,credit_card,Low,Good Loan,5.99,A,20.44,4349.622154,4000.0,0.0,121.67,ulster
7.0,RENT,Low,68000,5000, 36 months,debt_consolidation,Low,Good Loan,9.99,B,21.79,5804.96017,5000.0,0.0,161.32,ulster
0.5,RENT,Low,24000,6600, 60 months,car,High,Good Loan,16.89,D,12.45,9680.420006999999,6600.0,0.0,163.64,ulster
5.0,MORTGAGE,Low,84000,4200, 36 months,major_purchase,Low,Good Loan,5.42,A,7.26,4547.298629999998,4200.0,0.0,126.68,ulster
3.0,MORTGAGE,Low,56500,20000, 60 months,debt_consolidation,High,Bad Loan,17.99,E,24.23,8575.62,3232.24,961.74,507.76,ulster
10.0,RENT,Low,69000,12000, 60 months,debt_consolidation,High,Good Loan,15.99,D,15.06,17287.64996,12000.0,0.0,291.76,leinster
0.5,MORTGAGE,Low,59500,4200, 36 months,wedding,Low,Good Loan,10.59,B,19.78,4915.241385,4200.0,0.0,136.69,Northern-Irl
6.0,MORTGAGE,Low,78424,21200, 60 months,debt_consolidation,High,Bad Loan,13.99,C,9.44,3407.11,1760.27,0.0,487.95,Northern-Irl
1.0,MORTGAGE,Low,55000,4400, 36 months,other,Low,Good Loan,10.59,B,13.44,5152.536514,4400.0,0.0,143.2,ulster
6.0,RENT,Low,57000,4000, 36 months,home_improvement,Low,Good Loan,7.49,A,26.21,4476.671243,4000.0,0.0,124.41,leinster
9.0,RENT,Low,65000,12000, 36 months,debt_consolidation,Low,Good Loan,5.42,A,9.12,12594.4,12000.0,0.0,361.92,ulster
2.0,RENT,Low,55000,2000, 36 months,other,Low,Good Loan,7.49,A,20.09,2237.891993,2000.0,0.0,62.21,ulster
5.0,MORTGAGE,Low,55000,12000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,15.56,13434.17259,12000.0,0.0,373.22,Northern-Irl
6.0,MORTGAGE,Low,90000,18000, 36 months,home_improvement,Low,Good Loan,11.49,B,19.03,21360.8839,18000.0,0.0,593.49,cannught
1.0,OWN,Low,34800,10000, 36 months,debt_consolidation,Low,Bad Loan,12.99,C,24.14,7665.63,5639.16,262.19,336.9,Northern-Irl
1.0,MORTGAGE,Low,37000,15000, 60 months,debt_consolidation,Low,Bad Loan,11.49,B,7.91,5276.09,3186.12,0.0,329.82,cannught
6.0,RENT,Low,72000,5000, 36 months,car,Low,Good Loan,10.59,B,22.72,5856.034761,5000.0,0.0,162.73,munster
2.0,MORTGAGE,Low,26010,6500, 36 months,car,Low,Good Loan,9.99,B,1.61,7275.01,6500.0,0.0,209.71,leinster
4.0,MORTGAGE,Low,33600,6000, 36 months,debt_consolidation,Low,Good Loan,10.99,B,6.21,6488.24,6000.0,0.0,196.41,ulster
10.0,MORTGAGE,Low,40000,8000, 36 months,debt_consolidation,Low,Good Loan,9.99,B,10.08,9073.44,8000.0,0.0,258.1,Northern-Irl
6.0,MORTGAGE,Low,18000,2200, 36 months,small_business,Low,Bad Loan,11.49,B,3.2,303.84,207.83,0.0,72.54,munster
6.0,RENT,Low,46400,14125, 36 months,debt_consolidation,Low,Good Loan,12.99,C,9.83,17127.9666,14125.0,0.0,475.86,ulster
0.5,OWN,Low,31200,4350, 36 months,house,Low,Good Loan,5.99,A,3.12,4642.24,4350.0,0.0,132.32,ulster
6.0,MORTGAGE,Low,82404,10000, 60 months,major_purchase,Low,Good Loan,12.99,C,12.67,13239.82367,10000.0,0.0,227.48,Northern-Irl
1.0,RENT,Low,63000,11200, 36 months,debt_consolidation,Low,Good Loan,12.99,C,14.0,13581.15761,11200.0,0.0,377.32,Northern-Irl
9.0,MORTGAGE,Medium,135000,10000, 36 months,small_business,High,Good Loan,15.62,D,11.13,12441.81058,10000.0,0.0,349.7,Northern-Irl
2.0,MORTGAGE,Low,75000,8000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,10.51,9708.948674,8000.0,0.0,269.52,ulster
2.0,MORTGAGE,Medium,113000,22400, 36 months,debt_consolidation,Low,Good Loan,7.49,A,10.87,24987.581990000002,22400.0,0.0,696.68,leinster
10.0,MORTGAGE,Medium,129996,2800, 60 months,debt_consolidation,Low,Good Loan,12.99,C,22.35,3295.87,2304.68,0.0,63.7,Northern-Irl
6.05,MORTGAGE,Low,45000,7000, 36 months,major_purchase,Low,Bad Loan,7.49,A,15.23,2822.82,2342.81,0.0,217.72,ulster
5.0,MORTGAGE,Low,31000,7200, 36 months,credit_card,Low,Good Loan,11.99,B,17.15,8543.39,7200.0,0.0,239.11,leinster
2.0,OWN,Low,40000,2200, 36 months,medical,Low,Good Loan,11.99,B,4.17,2629.962805,2200.0,0.0,73.07,Northern-Irl
6.0,RENT,Low,64000,12200, 60 months,debt_consolidation,Low,Bad Loan,10.99,B,8.04,3984.08,2256.13,387.37,190.21,Northern-Irl
6.0,MORTGAGE,Medium,114000,35000, 60 months,credit_card,High,Good Loan,16.89,D,17.93,28742.53,18150.86,0.0,554.76,leinster
10.0,MORTGAGE,Medium,131004,24000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,7.19,26106.0,24000.0,0.0,746.44,Northern-Irl
10.0,MORTGAGE,Low,93600,35000, 60 months,small_business,Low,Good Loan,11.99,B,13.26,26543.82,19049.32,0.0,510.96,munster
10.0,MORTGAGE,Low,85000,8000, 36 months,home_improvement,Low,Good Loan,11.99,B,10.24,9564.038548999999,8000.0,0.0,265.68,Northern-Irl
10.0,RENT,Low,55000,7000, 36 months,moving,Low,Bad Loan,7.49,A,16.95,1163.15,593.87,401.51,217.72,ulster
7.0,OWN,Low,21403,3375, 60 months,small_business,High,Good Loan,17.99,E,24.39,4653.237943,3375.0,0.0,85.69,leinster
6.0,MORTGAGE,Low,39996,10000, 60 months,other,Low,Good Loan,12.99,C,20.61,12574.28525,10000.0,0.0,227.48,cannught
3.0,OWN,Low,53400,13600, 36 months,small_business,Low,Good Loan,10.99,B,4.13,16022.5023,13600.0,0.0,445.19,Northern-Irl
0.5,MORTGAGE,Low,62400,2400, 36 months,home_improvement,Low,Good Loan,7.49,A,18.6,2684.949525,2400.0,0.0,74.65,leinster
4.0,RENT,Low,90000,30000, 36 months,debt_consolidation,High,Good Loan,16.49,D,14.64,35695.25,30000.01,0.0,1061.99,Northern-Irl
6.0,MORTGAGE,Low,32760,6000, 36 months,home_improvement,Low,Good Loan,10.59,B,18.83,7027.882433,6000.0,0.0,195.27,munster
6.05,OWN,Low,70000,1250, 36 months,major_purchase,Low,Good Loan,5.42,A,19.29,1325.58,1250.0,0.0,37.7,leinster
3.0,MORTGAGE,Low,53148,25000, 36 months,debt_consolidation,Low,Bad Loan,7.49,A,17.05,12432.64,10416.64,0.0,777.55,leinster
6.0,MORTGAGE,Low,52500,8000, 36 months,debt_consolidation,High,Good Loan,15.23,C,2.67,8983.88,8000.0,0.0,278.23,munster
5.0,MORTGAGE,Low,96000,35000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,12.64,36592.76,35000.0,0.0,1088.56,munster
1.0,MORTGAGE,Low,60000,1500, 36 months,medical,Low,Bad Loan,5.42,A,5.26,225.1,193.13,0.0,45.24,leinster
0.5,RENT,Low,51996,5400, 60 months,debt_consolidation,High,Bad Loan,14.79,C,11.03,5105.63,3140.6,0.0,127.88,leinster
2.0,RENT,Low,71000,4000, 60 months,debt_consolidation,High,Bad Loan,19.29,E,4.68,538.19,121.99,225.68,104.41,Northern-Irl
1.0,MORTGAGE,Low,80000,15000, 60 months,debt_consolidation,High,Good Loan,15.99,D,10.74,15546.46,9974.96,0.0,305.74,leinster
6.0,RENT,Low,55000,19000, 60 months,debt_consolidation,High,Good Loan,17.49,D,18.44,14450.24,13000.0,0.0,326.52,Northern-Irl
4.0,MORTGAGE,Low,98000,20000, 60 months,home_improvement,Low,Good Loan,10.59,B,2.87,23677.06,20000.0,0.0,430.78,cannught
4.0,RENT,Medium,110000,8000, 36 months,debt_consolidation,Low,Good Loan,5.99,A,7.96,8225.39,8000.0,0.0,243.34,Northern-Irl
1.0,MORTGAGE,Low,60000,3500, 36 months,other,High,Bad Loan,16.89,D,20.6,2054.17,387.44,1431.17,124.6,leinster
6.0,RENT,Low,48000,16000, 60 months,credit_card,High,Good Loan,13.99,C,19.5,16850.97,11470.74,0.0,324.52,Northern-Irl
6.05,MORTGAGE,Low,32000,8000, 36 months,credit_card,Low,Good Loan,5.99,A,6.9,8618.73,8000.0,0.0,243.34,leinster
3.0,RENT,Low,54000,20000, 60 months,other,High,Bad Loan,16.49,D,19.09,3426.99,1592.35,9.6,380.98,ulster
10.0,MORTGAGE,Low,45000,2200, 36 months,credit_card,Low,Bad Loan,7.49,A,10.98,1119.38,866.43,75.98,68.43,ulster
1.0,RENT,Low,35000,15000, 36 months,wedding,Low,Good Loan,7.49,A,11.93,16793.27358,15000.0,0.0,466.53,cannught
5.0,MORTGAGE,Medium,106000,11500, 60 months,wedding,Low,Good Loan,10.99,B,19.56,11740.33,10124.99,0.0,220.1,ulster
0.5,RENT,Low,36000,2425, 36 months,car,Low,Good Loan,8.49,A,24.87,2750.21,2425.0,0.0,76.55,munster
5.0,RENT,Low,37200,4000, 36 months,credit_card,High,Good Loan,13.49,C,15.94,4881.749428,4000.0,0.0,135.73,ulster
10.0,OWN,Low,41500,4500, 36 months,other,Low,Good Loan,7.49,A,6.71,5017.250749,4500.0,0.0,139.96,ulster
5.0,RENT,Low,60000,3200, 36 months,debt_consolidation,High,Bad Loan,16.49,D,13.96,1596.41,657.36,579.68,113.28,munster
1.0,RENT,Low,39150,20000, 60 months,debt_consolidation,Low,Good Loan,10.59,B,29.12,16102.68,13475.0,0.0,290.24,Northern-Irl
10.0,RENT,Low,95000,4000, 36 months,renewable_energy,Low,Good Loan,7.49,A,19.89,4477.075561,4000.0,0.0,124.41,ulster
5.0,MORTGAGE,Low,43000,3000, 36 months,home_improvement,High,Good Loan,18.39,E,21.68,3921.8473299999996,3000.0,0.0,109.05,cannught
10.0,MORTGAGE,Low,30000,17000, 36 months,debt_consolidation,Low,Bad Loan,11.99,B,11.56,12859.84,9621.24,450.76,564.57,cannught
10.0,MORTGAGE,Low,59617,21000, 36 months,credit_card,High,Good Loan,15.62,D,14.13,25365.2,21000.0,0.0,734.37,Northern-Irl
10.0,RENT,Low,35000,8600, 36 months,major_purchase,High,Good Loan,15.99,D,2.88,10626.16,8600.01,0.0,302.31,ulster
10.0,MORTGAGE,Low,65000,13000, 60 months,medical,Low,Good Loan,7.49,A,3.43,13535.34,10968.72,0.0,260.44,Northern-Irl
3.0,RENT,Low,89004,18000, 36 months,wedding,Low,Good Loan,7.49,A,5.29,18112.68,18000.0,0.0,559.83,leinster
1.0,RENT,Low,30000,14300, 60 months,other,High,Bad Loan,20.62,F,19.2,3446.34,1016.83,762.61,383.82,cannught
7.0,RENT,Medium,200000,5000, 36 months,medical,Low,Good Loan,11.49,B,5.58,5775.54,5000.0,0.0,164.86,Northern-Irl
0.5,RENT,Low,20400,6000, 36 months,other,Low,Good Loan,9.99,B,3.76,6983.125445999999,6000.0,0.0,193.58,ulster
0.5,RENT,Low,50000,6000, 36 months,debt_consolidation,Low,Good Loan,10.59,B,13.1,7027.832108,6000.0,0.0,195.27,Northern-Irl
8.0,MORTGAGE,Medium,135000,5225, 36 months,major_purchase,Low,Bad Loan,7.49,A,13.52,2457.31,1886.87,190.99,162.51,Northern-Irl
5.0,RENT,Low,33000,7800, 36 months,debt_consolidation,Low,Good Loan,10.99,B,3.6,9081.64,7800.0,0.0,255.33,Northern-Irl
0.5,RENT,Low,62400,3500, 36 months,major_purchase,Low,Good Loan,10.99,B,11.98,3652.13,3500.0,0.0,114.57,Northern-Irl
4.0,RENT,Low,30000,6000, 36 months,vacation,Low,Bad Loan,10.99,B,12.64,195.87,141.07,0.0,196.41,ulster
2.0,RENT,Low,45000,9600, 36 months,credit_card,Low,Good Loan,8.49,A,4.83,10904.48165,9600.0,0.0,303.01,Northern-Irl
3.0,MORTGAGE,Low,72000,15000, 36 months,wedding,Low,Good Loan,5.42,A,4.58,16285.08119,15000.0,0.0,452.4,leinster
6.0,MORTGAGE,Low,45000,12000, 60 months,home_improvement,Low,Good Loan,8.49,A,6.75,14459.393119999999,12000.0,0.0,246.15,cannught
10.0,OWN,Low,28600,8000, 60 months,major_purchase,High,Good Loan,16.89,D,0.84,8459.92,8000.0,0.0,198.35,leinster
5.0,MORTGAGE,Low,86100,18000, 36 months,debt_consolidation,Low,Good Loan,6.99,A,5.88,20003.65408,18000.0,0.0,555.71,ulster
10.0,RENT,Low,72528,24000, 60 months,debt_consolidation,High,Good Loan,17.99,E,18.8,26096.29,24000.0,0.0,609.32,ulster
6.0,RENT,Low,28800,14800, 36 months,moving,Low,Good Loan,7.49,A,12.71,15319.36,14800.0,0.0,460.31,Northern-Irl
6.05,MORTGAGE,Low,70000,2500, 36 months,other,High,Good Loan,16.49,D,15.15,3136.5400809999996,2500.0,0.0,88.5,cannught
2.0,RENT,Low,40000,8000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,19.83,9023.19,8000.0,0.0,269.52,ulster
6.0,RENT,Low,46000,30000, 60 months,debt_consolidation,High,Good Loan,13.49,C,20.03,24618.04088,19150.0,0.0,440.54,leinster
5.0,MORTGAGE,Low,20000,4800, 36 months,home_improvement,Low,Good Loan,5.99,A,25.02,5255.927224,4800.0,0.0,146.01,Northern-Irl
3.0,MORTGAGE,Medium,133000,28000, 60 months,home_improvement,Low,Good Loan,11.99,B,5.95,21291.47,17800.0,0.0,395.87,ulster
6.05,MORTGAGE,Low,34200,5500, 36 months,debt_consolidation,Low,Good Loan,7.49,A,18.63,6174.251892,5500.0,0.0,171.06,leinster
3.0,OWN,Low,63000,32400, 60 months,debt_consolidation,High,Bad Loan,22.85,G,14.11,10287.44,2903.16,1352.59,744.77,Northern-Irl
3.0,RENT,Low,39581,10000, 36 months,debt_consolidation,Low,Good Loan,9.99,B,10.28,11583.56659,10000.0,0.0,322.63,ulster
10.0,MORTGAGE,Medium,110000,14000, 60 months,debt_consolidation,Low,Good Loan,12.99,C,16.75,17072.85,14000.01,0.0,318.48,leinster
1.0,RENT,Low,29004,4800, 60 months,other,Low,Good Loan,11.99,B,10.92,5529.54,3969.59,0.0,106.75,Northern-Irl
7.0,OWN,Low,24000,6000, 36 months,debt_consolidation,Low,Good Loan,5.42,A,20.85,6441.57,6000.0,0.0,180.96,cannught
10.0,MORTGAGE,Low,63000,3500, 36 months,debt_consolidation,Low,Good Loan,7.49,A,22.69,3754.18,3500.0,0.0,108.86,Northern-Irl
4.0,MORTGAGE,Low,79000,8000, 36 months,debt_consolidation,Low,Good Loan,5.99,A,12.84,8760.031444,8000.0,0.0,243.34,leinster
10.0,OWN,Low,80000,20000, 60 months,debt_consolidation,Low,Good Loan,11.49,B,18.73,22748.21,16554.93,0.0,439.76,cannught
6.05,RENT,Low,40000,15000, 60 months,debt_consolidation,High,Bad Loan,17.49,D,11.22,9040.94,4482.57,0.0,376.76,Northern-Irl
0.5,MORTGAGE,Medium,117500,13500, 36 months,debt_consolidation,Low,Good Loan,8.49,A,18.68,14616.76,13500.0,0.0,426.1,leinster
1.0,RENT,Low,50400,19600, 60 months,credit_card,High,Good Loan,16.49,D,16.5,20353.49525,15150.0,0.0,372.38,Northern-Irl
6.05,RENT,Low,22392,4650, 36 months,credit_card,Low,Good Loan,9.99,B,9.27,5398.1554350000015,4650.0,0.0,150.03,Northern-Irl
3.0,MORTGAGE,Low,50496,3000, 36 months,other,Low,Good Loan,11.99,B,21.36,3169.94,3000.0,0.0,99.63,leinster
6.0,MORTGAGE,Low,97000,6000, 36 months,car,Low,Good Loan,7.49,A,8.78,6525.23,6000.0,0.0,186.61,ulster
3.0,MORTGAGE,Low,75600,28000, 36 months,small_business,Low,Good Loan,7.49,A,9.35,31348.9862,28000.0,0.0,870.85,ulster
6.0,RENT,Low,38004,14675, 60 months,debt_consolidation,Low,Good Loan,12.99,C,29.18,19079.68667,14675.0,0.0,333.83,leinster
10.0,RENT,Low,60000,4200, 60 months,other,High,Bad Loan,17.49,D,18.66,5885.4,3918.05,0.0,105.5,ulster
2.0,RENT,Low,48716,15000, 60 months,debt_consolidation,High,Good Loan,16.49,D,22.17,19126.35,12201.96,0.0,368.69,munster
5.0,RENT,Low,65000,12000, 60 months,debt_consolidation,Low,Good Loan,8.49,A,20.31,12873.11,12000.01,0.0,246.15,Northern-Irl
2.0,RENT,Low,62758,6400, 36 months,debt_consolidation,Low,Good Loan,8.49,A,20.71,6898.74,6400.0,0.0,202.01,Northern-Irl
1.0,MORTGAGE,Low,100000,16000, 60 months,credit_card,Low,Good Loan,12.99,C,21.96,21384.12977,16000.0,0.0,363.97,Northern-Irl
10.0,MORTGAGE,Medium,106000,35000, 60 months,credit_card,High,Good Loan,16.49,D,18.77,35558.98,22682.83,0.0,685.15,cannught
10.0,OWN,Medium,120000,4800, 36 months,car,Low,Good Loan,10.99,B,13.24,5371.56,4800.0,0.0,157.13,Northern-Irl
4.0,RENT,Low,92000,6475, 36 months,debt_consolidation,Low,Bad Loan,6.99,A,9.89,2652.48,2007.36,256.56,199.9,munster
10.0,MORTGAGE,Low,55800,20000, 60 months,credit_card,Low,Good Loan,11.99,B,18.9,23670.44869,17975.0,0.0,399.76,leinster
3.0,MORTGAGE,Low,72000,24000, 60 months,home_improvement,High,Good Loan,14.79,C,4.82,28760.04,24000.0,0.0,568.32,Northern-Irl
10.0,RENT,Medium,143400,8000, 36 months,debt_consolidation,High,Good Loan,15.99,D,16.69,10118.01731,8000.0,0.0,281.22,leinster
4.0,MORTGAGE,Medium,105000,5000, 60 months,other,Low,Good Loan,8.49,A,17.74,5320.36,4195.9,0.0,102.56,Northern-Irl
2.0,MORTGAGE,Medium,126000,9600, 36 months,wedding,Low,Good Loan,11.49,B,17.18,11259.91,9600.0,0.0,316.53,ulster
10.0,MORTGAGE,Low,51000,9000, 36 months,debt_consolidation,Low,Good Loan,9.99,B,2.59,9971.35,9000.0,0.0,290.37,Northern-Irl
5.0,MORTGAGE,Low,90000,8000, 36 months,debt_consolidation,Low,Good Loan,5.42,A,21.08,8609.98,8000.0,0.0,241.28,ulster
2.0,RENT,Low,72500,9000, 36 months,debt_consolidation,Low,Good Loan,10.59,B,14.05,10541.44067,9000.0,0.0,292.91,ulster
10.0,MORTGAGE,Low,60000,20000, 36 months,credit_card,Low,Good Loan,6.99,A,8.8,22192.18882,20000.0,0.0,617.46,ulster
1.0,RENT,Low,76500,14000, 36 months,debt_consolidation,Low,Good Loan,11.49,B,12.45,14638.3,14000.0,0.0,461.6,leinster
2.0,MORTGAGE,Low,72000,1000, 36 months,home_improvement,High,Good Loan,15.23,C,16.55,1250.680829,1000.0,0.0,34.78,ulster
1.0,OWN,Low,35000,6000, 36 months,moving,Low,Bad Loan,11.49,B,22.35,6768.14,5743.1,40.91,197.83,Northern-Irl
2.0,MORTGAGE,Low,70000,3700, 36 months,other,Low,Good Loan,5.99,A,15.14,3788.09,3700.0,0.0,112.55,Northern-Irl
2.0,MORTGAGE,Low,90000,35000, 60 months,small_business,Low,Good Loan,10.99,B,0.87,26624.85,23675.01,0.0,514.64,leinster
1.0,MORTGAGE,Low,55000,6500, 36 months,home_improvement,Low,Good Loan,10.99,B,12.0,7532.94,6500.0,0.0,212.78,ulster
1.0,RENT,Low,65000,4000, 36 months,major_purchase,Low,Good Loan,5.42,A,6.81,4101.69,4000.0,0.0,120.64,munster
10.0,MORTGAGE,Medium,107000,15000, 60 months,other,High,Good Loan,13.49,C,20.4,17911.93,12355.96,0.0,345.08,leinster
